Asal,Tujuan,ID KANTOR Tujuan,KPRK Tujuan,Tarif Kartu Pos (Rp)
Batam,Bulukumba,92500,92500,34.000
Batam,Bikeru,92661,92500,35.500
Batam,Watampone,92700,92700,34.000
Batam,Selayar,92800,92500,37.000
Batam,Bontosikuyu,92855B1,92500,40.500
Batam,Kendari,93000,93000,33.000
Batam,Tinobu,93352,93000,34.500
Batam,Ambaipua,93372,93000,34.500
Batam,Langara,93393,93000,39.500
Batam,Abuki,93452,93000,34.500
Batam,Lasusua,93553,93000,36.000
Batam,Anaiwoi,93563,93000,36.000
Batam,Ladongi,93573,93000,36.000
Batam,Raha,93600,93000,39.500
Batam,Kambara,93653,93000,39.500
Batam,Laschao,93661,93000,39.500
Batam,Wakuru,93662,93000,39.500
Batam,Ereke,93672,93700,41.500
Batam,Baubau,93700,93700,38.500
Batam,Sampolawa,93753,93700,40.000
Batam,Banabungi,93754,93700,40.000
Batam,Lombe,93761,93700,40.000
Batam,Boepinang,93772,93000,36.000
Batam,Sikeli,93781,93000,39.500
Batam,Binongko,93794,93700,41.500
Batam,Palu,94000,94000,33.000
Batam,Donggala,94351,94000,36.000
Batam,Binangga,94362,94000,34.500
Batam,Ampibabo,94374,94000,36.000
Batam,Bangkir,94554,94000,36.000
Batam,Leok,94564,94000,36.000
Batam,Kasiguncu,94652,94000,36.000
Batam,Beteleme,94666,94000,36.000
Batam,Kolonedale,94671,94000,36.000
Batam,Ampana,94683,94000,36.000
Batam,Luwuk,94700,94700,38.500
Batam,Salakan,94785,94700,41.500
Batam,Banggai,94791,94700,40.000
Batam,Manado,95000,95000,35.000
Batam,Amurang,95354,95000,38.000
Batam,Airmadidi,95371,95000,36.000
Batam,Tomohon,95400,95000,36.000
Batam,Bitung,95500,95000,36.000
Batam,Eris,95683,95000,36.000
Batam,Belang,95697,95000,38.000
Batam,Kotamobagu,95700,95700,40.500
Batam,Bintauna,95763,95700,43.500
Batam,Bolaangitang,95764,95700,43.500
Batam,Molibagu,95774,95700,41.500
Batam,Modayag,95781,95700,41.500
Batam,Tahuna,95800,95000,41.000
Batam,Manganitu,95853,95000,38.000
Batam,Tamako,95855,95000,41.000
Batam,Ulusiau,95861,95000,41.000
Batam,Ondong,95862,95000,38.000
Batam,Tagulandang,95863,95000,41.000
Batam,Beo,95881,95000,38.000
Batam,Gorontalo,96100,96100,50.000
Batam,Suwawa,96184,96100,51.500
Batam,Atinggola,96253,96100,51.500
Batam,Paguyaman,96261,96100,53.500
Batam,Lemito,96267,96100,53.500
Batam,Batudaa,96271,96100,51.500
Batam,Ambon,97000,97000,36.000
Batam,Amahai,97552,97000,39.000
Batam,Bula,97555,97000,39.000
Batam,Kairatu,97566,97000,39.000
Batam,Airbuaya,97572,97000,39.000
Batam,Leksula,97573,97000,39.000
Batam,Tual,97600,97600,41.000
Batam,Elat,97661,97600,42.500
Batam,Dobo,97662,97600,44.500
Batam,Larat,97663,97600,44.500
Batam,Ternate,97700,97700,37.500
Batam,Jailolo,97752,97700,39.000
Batam,Galela,97761,97700,40.500
Batam,Morotai,97771,97700,40.500
Batam,Labuha,97791,97700,40.500
Batam,Mangole,97796,97700,40.500
Batam,Payahe,97852,97700,39.000
Batam,Gebe,97855,97700,40.500
Batam,Maba,97862,97700,39.000
Batam,Biak,98100,98100,62.000
Batam,Bosnik,98152,98100,68.000
Batam,Yemburwo,98171,98100,68.000
Batam,Serui,98200,98100,70.000
Batam,Waren,98261,98100,76.500
Batam,Manokwari,98300,98300,90.000
Batam,Warmare,98352,98300,96.500
Batam,Oransbari,98353,98300,96.500
Batam,Ransiki,98355,98300,96.500
Batam,Prafi,98356,98300,96.500
Batam,Wasior,98362,98300,102.000
Batam,Babo,98363,98300,96.500
Batam,Bintuni,98364,98300,102.000
Batam,Sorong,98400,98400,77.000
Batam,Aimas,98418,98400,78.500
Batam,Sorongdoom,98451,98400,83.500
Batam,Teminabuan,98454,98400,83.500
Batam,Rajaampat (Ba),98481B1,98400,83.500
Batam,Fakfak,98600,98400,92.500
Batam,Kaimana,98654,98400,101.000
Batam,Enarotali,98700,98800,72.000
Batam,Waghete,98784B1,98800,89.000
Batam,Nabire,98800,98800,65.000
Batam,Makimi,98842B1,98800,89.000
Batam,Moanemani,98862,98800,72.000
Batam,Mulia,98900,98800,89.000
Batam,Jayapura,99000,99000,54.000
Batam,Yahukimo,99047B1,99000,79.000
Batam,Depapre,99353,99000,60.000
Batam,Demta,99354,99000,60.000
Batam,Genyem,99361,99000,60.000
Batam,Lereh,99364,99000,60.000
Batam,Arso,99368,99000,60.000
Batam,Sarmi,99373,99000,66.500
Batam,Wamena,99500,99000,79.000
Batam,Tiom,99531B1,99000,79.000
Batam,Pegununganbintang,99573B1,99000,79.000
Batam,Merauke,99600,99600,62.000
Batam,Bade,99653,99600,72.000
Batam,Kimaam,99655,99600,68.000
Batam,Kurik,99656,99600,68.000
Batam,Asiki,99661B1,99600,77.500
Batam,Mindiptana,99662,99600,68.000
Batam,Tanahmerah,99663,99600,68.000
Batam,Kepi,99671,99600,77.500
Batam,Agats,99677,99600,68.000
Batam,Tanahmiring,99692B1,99600,77.500
Batam,Timika,99900,99900,91.000
Batam,Kualakencana,99920,99900,97.500
Batam,Tembagapura,99930,99900,97.500
